strategy,dim_groups,algo,func,dim,rep,fopt,time,iterations,seed
best1bin,1,SMCO_EVO,Rastrigin,3000,0,-25286.42860916014,9972.516751857474,355,631936983
rand1bin,1,SMCO_EVO,Rastrigin,3000,0,-25283.272301926583,9998.117607595399,355,631936983
rand1bin,1,SMCO_R_EVO,Rastrigin,3000,0,-25218.350762426096,10049.484183900058,355,631936983
rand1bin,4,SMCO_EVO,Rastrigin,3000,0,-25284.12762209811,10149.872013086453,355,631936983
best1bin,2,SMCO_R_EVO,Rastrigin,3000,0,-25218.600879294136,10207.964507335797,355,631936983
rand1bin,4,SMCO_R_EVO,Rastrigin,3000,0,-25218.6657870193,10257.513324603438,355,631936983
best1bin,4,SMCO_EVO,Rastrigin,3000,0,-25285.623476745743,10323.765780437738,355,631936983
best1bin,2,SMCO_EVO,Rastrigin,3000,0,-25287.189697235663,10621.148432703689,355,631936983
rand1bin,8,SMCO_R_EVO,Rastrigin,3000,0,-25218.60651367937,10646.164312941954,355,631936983
rand1bin,2,SMCO_EVO,Rastrigin,3000,0,-25283.663298963525,10662.58180918172,355,631936983
rand1bin,2,SMCO_R_EVO,Rastrigin,3000,0,-25217.669069636653,10679.623963182792,355,631936983
rand1bin,8,SMCO_EVO,Rastrigin,3000,0,-25284.377695687752,10693.160437971354,355,631936983
best1bin,1,SMCO_R_EVO,Rastrigin,3000,0,-25218.234033405748,10698.22737691924,355,631936983
best1bin,4,SMCO_R_EVO,Rastrigin,3000,0,-25217.74642045306,10719.716437034309,355,631936983
rand1bin,1,SMCO_BR_EVO,Rastrigin,3000,0,-25316.354770557413,10798.806959204376,205,631936983
rand1bin,8,SMCO_BR_EVO,Rastrigin,3000,0,-25318.165760738142,11133.120033387095,205,631936983
best1bin,2,SMCO_BR_EVO,Rastrigin,3000,0,-25327.792929926596,11427.245181243867,205,631936983
best1bin,1,SMCO_BR_EVO,Rastrigin,3000,0,-25320.33562817453,11502.531436892226,205,631936983
rand1bin,4,SMCO_BR_EVO,Rastrigin,3000,0,-25317.454730042853,11530.0611738991,205,631936983
rand1bin,2,SMCO_BR_EVO,Rastrigin,3000,0,-25322.82710586206,11561.77253096737,205,631936983
best1bin,8,SMCO_R_EVO,Rastrigin,3000,0,-25218.25045470539,10620.898303646594,355,631936983
best1bin,8,SMCO_EVO,Rastrigin,3000,0,-25285.5891078344,10722.907679140568,355,631936983
rand1bin,1,SMCO_R_EVO,Rastrigin,3000,1,-25129.273121473394,10598.259405022487,355,886357985
rand1bin,1,SMCO_EVO,Rastrigin,3000,1,-25195.546589141282,11027.186871513724,355,886357985
best1bin,4,SMCO_BR_EVO,Rastrigin,3000,0,-25323.310140225523,11284.777705602348,205,631936983
rand1bin,2,SMCO_R_EVO,Rastrigin,3000,1,-25129.939570664133,10634.764097014442,355,886357985
rand1bin,8,SMCO_R_EVO,Rastrigin,3000,1,-25129.954535838267,10660.575279336423,355,886357985
rand1bin,4,SMCO_EVO,Rastrigin,3000,1,-25195.50671839947,11162.396059308201,355,886357985
rand1bin,8,SMCO_EVO,Rastrigin,3000,1,-25196.403195508057,11234.889386549592,355,886357985
